volunteer,track,date,time,sky,rain,latitude,longitude,closest trap/tracking tunnel,band,new bands,age,sex,# mealworms given,# fed to partner/nestlings/fledglings,# consumed,# cached,interaction,other animal sighting/s,"notes, other activity",trap,lat,lng,aka
annette harvey,Clinical,2023-01-26,16.15,Mostly clear,None,,,75,,,,,,,,,Banding visit,,Searched 45 mins but none around. Bush edge and quite close to Zealandia. Birds seen previously left in that direction so may have been fence jumpers,75,-41.296136627552606,174.75283538713302,
annette harvey,Clinical,2023-01-26,17.15,Mostly clear,None,,,81-2,,,,,,,,,Banding visit,,Searched 1 hour but none around. Nice valley near stream so could be a good spot for them to settle. Worth keeping looking around here.,81,-41.29881565124148,174.75160611001144,
rachel w,Clinical,2023-01-29,14:00,Partly cloudy,None,,,79,,,Un,Un,4,,,,Known territory,,Trap 79 (marked with triangle) by the stream at the trap and the fuchsia hanging over the track nearby. Someone told me they saw 2 unbanded birds this morning so I went up with some mealworms. 1 unbanded bird appeared after five minutes of tapping noises and immediately disposed of the worms I offered ,79,-41.298157563533564,174.75206098448564,
rachel w,Clinical,2023-01-29,14:10,Partly cloudy,None,,,79,GM-WY,,A,F,2,,,,Incidental,,Banded bird showed up while I was offering worms to unbanded. Ate one I'd just offered and another the other dropped. Other bird didn't seem bothered and they peeped back and forth while investigating me. Both came very close. Possible parent and child,79,-41.298157563533564,174.75206098448564,
rachel w,Clinical,2023-01-30,13:45,Partly cloudy,None,,,81-79,,,,,,,,,None observed,Titipounamu,May have heard a toutouwai singing briefly downhill near the intersection of Clinical and George Denton track,81,-41.29881565124148,174.75160611001144,
rachel w,Clinical,2023-01-31,17:00,Partly cloudy,Light,,,81-79,,,,,,,,,None observed,"Baby ruru, titipounamu",Made plenty of noise. No sign,81,-41.29881565124148,174.75160611001144,
rachel w,Clinical,2023-02-02,17:00,Overcast,None,,,81-79,,,,,,,,,None observed,Titipounamu,,81,-41.29881565124148,174.75160611001144,
rachel w,Highbury Fling,2023-02-03,17:30,Partly cloudy,None,,,66-67,,,Un,Un,,,,,Incidental,,Came out of one of the gullies. Map shows still quite close to Zealandia so could be a fence jumper,66,-41.29769233642708,174.7505392149956,
rachel w,Highbury Fling,2023-02-05,15:00,Overcast,None,,,62,YM-WPu,,S,Un,,No mealworm but banded bird found a worm and ate it. Did not share,,,Incidental,,Banded bird with 2 unbanded at path (lone pine) directly opposite Trap 62 triangle marker ,62,-41.29955626741264,174.75077038396424,
rachel w,Highbury Fling,2023-02-05,15:00,Overcast,None,,,62,U x 2,,S,Un,,,,,Incidental,,Accompanied the banded bird. All in close proximity to each other but there was some chasing if they got too close ,62,-41.29955626741264,174.75077038396424,
rachel w,Highbury Fling,2023-02-05,15.15,Overcast,None,,,66,,,Un,Un,4,,4,,Known territory,Titipounamu,Probably same bird as yesterday. Directly beside triangular track marker. Immediately keen on mealworms,66,-41.29769233642708,174.7505392149956,
rachel w,Highbury Fling,2023-02-05,15.15,Overcast,None,,,61,,,Un,Un,,,,,Incidental,,Heard calling down bank and saw briefly at a distance. Seemed to be unbanded. Was not interested in me. ,61,-41.299977561255695,174.75064038086316,
rachel w,Highbury Fling,2023-02-06,11.35,Partly cloudy,None,,,62,,,S,Un,4,,3,1,Known territory,,"Directly opposite trap 62 marker and slightly down the little track (where old ""lone pine"" sign was) that goes off the main path. Seemed a bit wary and confused by mealworms at first. ",62,-41.29955626741264,174.75077038396424,
rachel w,Highbury Fling,2023-02-06,11:50,Partly cloudy,None,,,66,,,Un,Un,,,,,Known territory,,Very friendly and appeared almost immediately after I stopped to look around. This bird will come right up to you and stand at your feet. Very close to trap 66 marker at the deepest part of the curve ,66,-41.29769233642708,174.7505392149956,
rachel w,Clinical,2023-02-06,12:10,Partly cloudy,None,,,,,,,,,,,,None observed,Titipounamu female,Still no further toutouwai spotted on Clinical,,,,
simon,Clinical,2023-02-06,17:30,Mostly clear,None,,,81-79,,,S,Un,3,,3,,Known territory,Popokatea further down the track,,81,-41.29881565124148,174.75160611001144,
simon,Transient,2023-02-06,17:00,Mostly clear,None,,,003,,,,,,,,,None observed,,Bit worried about RW-WM - haven't seen him for a bit and couldn't rouse him with tapping today. Usually he's keen as.,3,-41.294877101561966,174.7614329945302,
rachel w,Transient,2023-02-07,13:10,Mostly clear,None,,,003,,,,,,,,,None observed,,"Stayed for a while, made some noise. No sign of RW-WM",3,-41.294877101561966,174.7614329945302,
rachel w,Highbury Fling,2023-02-07,16:40,Mostly clear,None,,,66,,,Un,Un,4,,4,,Known territory,Cat at George Denton Park near the Zealandia fence,Very close to trap 66 marker at the deepest part of the curve. Will appear quickly and consistently in the same area if you stop. I have been making tapping nosies for good measure,66,-41.29769233642708,174.7505392149956,
rachel w,Highbury Fling,2023-02-07,16:50,Mostly clear,None,,,63.1-64,,,Un,Un,2,,2,,Incidental,,Thought this was one of the birds at 62 but appears to be another separate bird. Backtracked later to confirm it is probably not the one at 66 either. Between marker 64 and 63.1 (63.1 isn't well marked coming from George Denton direction so look for next trap on right after 64 marker),63,-41.29896942789763,174.7507283955656,
rachel w,Highbury Fling,2023-02-07,17:05,Mostly clear,None,,,62-63,U x 2,,S,Un,,,,,Known territory,2 x Titipounamu,2 Unbanded birds together. Both came to watch me and blip at each other. Think these are the two I've seen close to each other around Trap 62 in the past (accompanied by the other banded one the first time). Tried to offer mealworms but didn't seem that interested,62,-41.29955626741264,174.75077038396424,
rachel w,Clinical,2023-02-08,17:00,Mostly clear,None,,,82,,,Un,Un,3,,3,,Known territory,Titipounamu,A little past the blue marker this time near the yellow bug trap ,82,-41.2989813808858,174.75224327721347,
rachel w,Highbury Fling,2023-02-09,16:00,Mostly clear,None,,,63.1-64,,,Un,Un,3,,3,,Known territory,Titipounamu,Wondering if this or one of the others around here are the same bird that appears at 82 on Clinical as it's just uphill,63,-41.29896942789763,174.7507283955656,
rachel w,Highbury Fling,2023-02-09,16:15,Mostly clear,None,,,62,,,Un,Un,1,,1,,Known territory,,Just one here this time. A little nervous. Ate one mealworm and then left,62,-41.29955626741264,174.75077038396424,
rachel w,Highbury Fling,2023-02-09,16:30,Mostly clear,None,,,66,,,,,,,,,None observed,,No visit from the bird at 66 today,66,-41.29769233642708,174.7505392149956,
rachael s,Clinical,2023-02-10,13:00,Mostly clear,None,,,81/82,,,,,,,,,None observed,"Titipounamu, kākā",Spent an hour searching in vicinty of 82/81. Didn't see or hear anyone,81,-41.29881565124148,174.75160611001144,
rachael s,Highbury Fling,2023-02-10,13:50,Mostly clear,None,,,66,WM-BG d,WM-BG d,S,U,Many?,,,,Banding visit,,Appeared immeditately,66,-41.29769233642708,174.7505392149956,
rachael s,Highbury Fling,2023-02-10,13:50,Mostly clear,None,,,Lone Pine/62,WM-GY,WM-GY,S,M,2,,2,,Banding visit,"Tieke, popokatea","WM-GY was chasing BR-WM.  Pretty sure he was the bird singing juste was singing before I caught him, so I assuming male",62,-41.29955626741264,174.75077038396424,
rachael s,Highbury Fling,2023-02-10,13:50,Mostly clear,None,,,Lone Pine/62,BR-WM,BR-WM,S,F,Many?,,many - started caching,,Banding visit,"Tieke, popokatea","With WM-GY, but being chased by him",62,-41.29955626741264,174.75077038396424,
rachael s,Highbury Fling,2023-02-10,13:50,Mostly clear,None,,,63.1,WM-RR,WM-RR,S,M,3,,3,,Banding visit,,"Was singing right before I caught him, so definitely male",63,-41.29896942789763,174.7507283955656,
rachael s,Highbury Fling,2023-02-10,13:50,Mostly clear,None,,,63.1,BW-WM,BW-WM,S,U,3,,3,,Banding visit,,Hopped all over banding gear and virtually trapped itself. So bold!,63,-41.29896942789763,174.7507283955656,
rachel w,Highbury Fling,2023-02-11,16:00,Mostly clear,None,,,62-63,BR-WM,,S,F,,,,,Known territory,Titipounamu,Appeared while I watched titipounamu. Quite wary ,62,-41.29955626741264,174.75077038396424,
rachel w,Highbury Fling,2023-02-11,16:00,Mostly clear,None,,,Lone Pine (62),,,,M,,,,,Known territory,,Full call heard but bird not sighted. Probably one of the banded boys,62,-41.29955626741264,174.75077038396424,
rachel w,Highbury Fling,2023-02-11,16:30,Mostly clear,None,,,66,,,,Un,,,,,Known territory,,Partial call heard from valley below 66. Bird did not approach path today ,66,-41.29769233642708,174.7505392149956,
rachel w,Transient,2023-02-12,13:00,Overcast,None,,,3,,,,,,,,,None observed,,No sign of RW-WM ,3,-41.294877101561966,174.7614329945302,
rachel w,Highbury Fling,2023-02-12,14:00,Overcast,None,,,66,,,,Un,,,,,Known territory,,Again no sighting but think I heard a partial call from valley,66,-41.29769233642708,174.7505392149956,
rachel w,Clinical,2023-02-12,14:20,Overcast,None,,,82-81,,,S,Un,5,,5,,Known territory,,Unbanded. Right next to the blue marker embedded in the tree again. Very keen on mealworms (found a big earthworm too),82,-41.2989813808858,174.75224327721347,
rachel w,Clinical,2023-02-15,13:00,Overcast,None,,,82-81,,,S,Un,4,,4,,Known territory,Titipounamu heard ,Fed right next to the blue marker. Path is narrow but quiet during the weekday. Made a loud *tap tap tap* against my phone case for about 5 minutes before it showed up ,82,-41.2989813808858,174.75224327721347,
rachel w,Clinical,2023-02-16,17:15,Overcast,None,41.2968,174.75282,75-75.1,U x 2,,Un,Un,1,,1,,Incidental,,One bird appeared beside me. Gave it one mealworm. Didn't seem completely familiar with them but ate it. Second bird appeared after and they chased each other into the bushes,75,-41.296136627552606,174.75283538713302,
rachel w,Clinical,2023-02-16,17:25,Overcast,None,,,79-80,,,S,Un,4,,4,,Known territory,,Approached the valley from the other side today. Think this is the usual bird from around 81-80. The bird approached me as I was walking toward its territory. Seemed to recognise me and waited for worms,79,-41.298157563533564,174.75206098448564,
rachel w,Highbury Fling,2023-02-16,17:46,Overcast,None,,,63.1,BW-WM,,S,Un,1,,1,,Known territory,,Both banded birds seemed to be hanging out together blipping to each other. BW-WM briefly chased away WM-RR when he got too close,63,-41.29896942789763,174.7507283955656,
rachel w,Highbury Fling,2023-02-16,17:46,Overcast,None,,,63.1,WM-RR,,S,M,1,,1,,Known territory,,,63,-41.29896942789763,174.7507283955656,
rachel w,Highbury Fling,2023-02-16,18:00,Overcast,None,41.29663,174.75197,71-72,,,S,Un,,,,,Incidental,2 x young cats at George Denton right on fence line,In the band of bush between Fling and the Zealandia fenceline track. Was singing very softly. Came to look at me but I had no mealworms at this point and it was close enough to Zealandia it may be living over there,71,-41.29659211656635,174.75184288801293,
public,Highbury Fling,2023-02-18,,,,,,,WM-BG d,,,,,,,,,,18/2/23 Found injured -chest wound. Euthenased at The Nest,,,,
rachel w,Clinical,2023-02-20,12:30,Mostly clear,None,,,82-81,,,S,Un,4,,4,,Known territory,,Fed by the blue marker,82,-41.2989813808858,174.75224327721347,
annette harvey,Clinical,2023-02-21,09:45,Overcast,None,,,75,YB-WM,YB-WM,S,Un,lots,,all,,Banding visit,,Not familiar with worms,75,-41.296136627552606,174.75283538713302,
annette harvey,Clinical,2023-02-21,11:30,Overcast,None,,,82-81,WM-RY,WM-RY,S,Un,6,,6,,Banding visit,tieke,Near blue marker and familiar with worms,82,-41.2989813808858,174.75224327721347,
rachel w,Highbury Fling,2023-02-21,16:00,Overcast,None,,,63.1,,,,,,,,,Known territory,Titipounamu pair: PuW-RM and CC-RM,"Call heard, bird not seen",63,-41.29896942789763,174.7507283955656,
rachel w,Highbury Fling,2023-02-23,17:10,Overcast,Showery,,,66,,,,,,,,,None observed,Titipounamu pair: PuW-RM and CC-RM. Seem to have moved into the area,,66,-41.29769233642708,174.7505392149956,
rachel w,Highbury Fling,2023-02-23,17:20,Overcast,Showery,,,62-63,BR-WM,,S,Un,2,,2,,Known territory,Titipounamu x 1,Startled it when I walked past as it was right by track in the bushes. Gave a couple of worms in payment for all the photos,62,-41.29955626741264,174.75077038396424,
rachel w,Highbury Fling,2023-02-23,17:30,Overcast,Showery,,,62,WM-GY,,S,Un,1,,1,,Known territory,,Close to Lone Pine trail; heard another bird call nearby but couldn't tell direction so could have been BR-WM,62,-41.29955626741264,174.75077038396424,
rachel w,Clinical,2023-02-24,12:00,Overcast,None,,,82-81,,,,,,,,,None observed,,Stopped to see if WM-RY was around but no one showed up,82,-41.2989813808858,174.75224327721347,
rachel w,Highbury Fling,2023-02-24,13:00,Overcast,None,,,62,BR-WM,,S,Un,,,,,Known territory,"Kakariki, Titipounamu",Realised she was following me while I walked down the Lone Pine track,62,-41.29955626741264,174.75077038396424,
rachel w,Clinical,2023-02-26,16:00,Overcast,None,,,82-81,,,,,,,,,None observed,,Clinical very quiet at the moment. No toutouwai sightings but last few visits have been in the afternoon,82,-41.2989813808858,174.75224327721347,
rachel w,Car Parts Ext,2023-02-27,12:15,Partly cloudy,None,41.21166,174.74238,,,,S,Un,2,,2,,Incidental,,"From Turbine car park, take track to Hawkin's Hill that winds down and becomes Car Parts Ext. Noticed one watching me on a muddy bend not far along Car Parts Ext. by a stream that crossed the path. Bird was not familiar with meal worms but eventually ate 2 some time after I dropped them",,,,
rachel w,Clinical,2023-02-28,13:10,Partly cloudy,None,,,82-81,,,Un,M,5,,2,3,Known territory,,Stopped to check for one of the banded birds but unbanded showed up. Fairly vocal - possibly male? Familiar with meal worms,82,-41.2989813808858,174.75224327721347,
rachael s,Clinical,2023-03-01,13:00,Mostly clear,None,,,,,,,,,,,,None observed,,Walked from George Denton to 82 and stopped at blue marker to tap for 15. No one came,,,,
rachel w,Clinical,2023-03-01,16:10,Mostly clear,None,,,79,,,Un,Un,4,,1,3,Known territory,,Might be same bird from 81-82. Encountered on the path right by Trap 79,79,-41.298157563533564,174.75206098448564,
rachel w,Highbury Fling,2023-03-01,16:30,Mostly clear,None,,,62,BR-WM,,S,F,3,,3,,Known territory,,Followed me along lone pine by trap 62,62,-41.29955626741264,174.75077038396424,
rachel w,Clinical,2023-03-02,13:00,Overcast,None,,,,,,,,,,,,None observed,,,,,,
rachel w,Highbury Fling,2023-03-03,17:00,Partly cloudy,None,,,55,,,S,M,3,,3,,Incidental,,"Heard singing, Toutouwai was downhill direclty opposite Trap 55 marker. Came to check me out but kept fairly distant. Unfamiliar with mealworms but ate at least 2. Unsure if it grabbed the 3rd before it flew away",55,-41.30279995570507,174.75039736514165,
fb group member,Highbury Fling,2023-03-03,PM,Partly cloudy,None,,,60-61,YB-WM,,,,,,,,Incidental,,FB Group Member: Julia Braakhuis. Reported as WM-YB but don't think we have one in that order so Possibly YB-WM or WM-GY?,60,-41.30070169356118,174.7507425715453,
simon,Highbury Fling,2023-03-04,12:30,Overcast,Light,,,62,,,,,,,,,None observed,,,62,-41.29955626741264,174.75077038396424,
simon,Clinical,2023-03-04,12:30,Overcast,Light,,,82-81,,,,,,,,,None observed,,,82,-41.2989813808858,174.75224327721347,
simon,Highbury Fling,2023-03-04,12:30,Overcast,Light,,,63.1,,,,,,,,,None observed,,,63,-41.29896942789763,174.7507283955656,
simon,Highbury Fling,2023-03-04,12:30,Overcast,Light,,,66,,,,,,,,,None observed,,,66,-41.29769233642708,174.7505392149956,
simon,Clinical,2023-03-04,12:30,Overcast,Light,,,75,,,,,,,,,None observed,,,75,-41.296136627552606,174.75283538713302,
simon,Highbury Fling,2023-03-04,12:30,Overcast,Light,,,55,,,,,2,,2,,Incidental,,Pair of toutouwai foraging happily together. Possibly a parent and fledgling?,55,-41.30279995570507,174.75039736514165,
simon,Highbury Fling,2023-03-04,12:30,Overcast,Light,,,55,,,,,1,,1,,Incidental,,Pair of toutouwai foraging happily together. Possibly a parent and fledgling?,55,-41.30279995570507,174.75039736514165,
simon,Highbury Fling,2023-03-04,12:00,Mostly clear,None,,,62,,,,,,,,,None observed,,,62,-41.29955626741264,174.75077038396424,
simon,Highbury Fling,2023-03-06,12:00,Mostly clear,None,,,62,,,,,,,,,None observed,,,62,-41.29955626741264,174.75077038396424,
simon,Clinical,2023-03-06,12:00,Mostly clear,None,,,82-81,,,,,,,,,None observed,,,82,-41.2989813808858,174.75224327721347,
simon,Highbury Fling,2023-03-06,12:00,Mostly clear,None,,,63.1,,,,,,,,,None observed,,,63,-41.29896942789763,174.7507283955656,
simon,Highbury Fling,2023-03-06,12:00,Mostly clear,None,,,66,,,,,,,,,None observed,,,66,-41.29769233642708,174.7505392149956,
simon,Clinical,2023-03-06,12:00,Mostly clear,None,,,75,,,,,,,,,None observed,,,75,-41.296136627552606,174.75283538713302,
simon,Highbury Fling,2023-03-06,12:30,Mostly clear,None,,,Hoki Mai (near 55),,,,,2,,2,,Known territory,,Just the one today - possibly a different bird?,55,-41.30279995570507,174.75039736514165,
fb group member,Highbury Fling,2023-03-06,AM,Mostly clear,None,,,Hoki Mai,,,,,,,,,Known territory,,Reported by user in FB Group: Judy Ryan,Hoki Mai,-41.302901091488565,174.7504022194934,
fb group member,Highbury Fling,2023-03-06,AM,Mostly clear,None,,,62,WM-GY,,,,,,,,Known territory,,Reported by user in FB Group: Judy Ryan,62,-41.29955626741264,174.75077038396424,
rachel w,Clinical,2023-03-06,13:00,Mostly clear,None,,,,,,,,,,,,None observed,,Remains quiet on Clinical,,,,
simon,Waimapihi Stream Loop,2023-03-07,15:00,Mostly clear,None,,,,,,,,,,,,None observed,,,,,,
rachel w,Clinical,2023-03-08,15:20,Overcast,None,,,76,,,S,Un,3,,3,,Incidental,,2 birds foraging together near an un-numbered trap between Trap 76 and Trap 75. Both quite bold and quickly ate mealworms without any hesitation,76,-41.29694658177453,174.75287026293677,
rachel w,Clinical,2023-03-08,15:20,Overcast,None,,,76,,,S,Un,3,,3,,Incidental,,2 birds foraging together near an un-numbered trap between Trap 76 and Trap 75. Both quite bold and quickly ate mealworms without any hesitation,76,-41.29694658177453,174.75287026293677,
annette harvey,Highbury Fling,2023-03-09,10:15,Overcast,None,,,Hoki Mai,WM-BY,WM-BY,S,Un,5,,5,,Banding visit,,A bit trap-shy. ,Hoki Mai,-41.302901091488565,174.7504022194934,
